company_name,city,website,email,phone,residential_fit_reason,main_estimate_leak,positive_note,outreach_angle,score,priority_rank
JZA Concrete LLC,Kansas City,https://jzaconcrete.com/,jzaconcrete@outlook.com,Unknown,"Core concrete brand with clear residential-service potential around patios, driveways, and flatwork.","Service segmentation looks likely to be too thin for homeowner estimate intent.","Direct company-style email and focused concrete identity.","Lead with a teardown around estimate-path clarity and stronger gallery proof for homeowners.",9,1
Better Concrete Construction,Kansas City,http://www.betterconcreteconstruction.com/,Unknown,Unknown,"Name and domain strongly suggest residential concrete is the core service.","Missing direct contact email suggests lead capture and response flow are already weak.","Very strong company/category match for the pilot offer.","Position BuckSites as fixing estimate leakage and adding a cleaner response path once contact routing is in place.",8,2
Johnson Concrete LLC,Kansas City,http://www.jococoncrete.com/,Unknown,Unknown,"Local concrete-only identity points to a likely residential driveway/patio contractor.","No captured email and likely minimal trust flow reduce outreach readiness and hint at estimate leakage.","Simple local branding makes the offer easy to understand.","Focus on trust proof, gallery organization, and making quote requests easier.",8,3
Superior Concrete KC,Kansas City,https://superiorconcretekc.com/,Unknown,Unknown,"Concrete-only Kansas City positioning fits residential homeowner work well.","No captured direct email and likely thin estimate funnel make it a good leak-fix candidate.","Strong geo-specific branding.","Approach as a residential concrete company that likely needs a clearer homeowner estimate path.",8,4
"Enriquez Concrete Construction, LLC",Kansas City,https://enriquezconcrete-construction.com/,info@supernaturalconst.com,Unknown,"Concrete construction appears to be the core offer and the business feels local rather than corporate.","Trust and gallery proof likely need to work harder if the contact email routes through a different brand/domain.","Actual website and live email exist.","Lead with trust-proof cleanup and a cleaner estimate path for homeowner jobs.",7,5
EverLevel Concrete Repair,Kansas City,https://www.everlevelconcrete.com/,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Unknown,"Residential repair is a clear homeowner-facing niche and fits the repair/replacement side of the pilot.","Estimate flow may be leaking because the captured email is a platform-generated address rather than a direct business inbox.","Repair specialty is sharply defined.","Position the offer around improving homeowner trust and response flow for repair leads.",7,6
"Burton's Concrete Construction, LLC",Kansas City,https://burtons-construction.com/,rantig@j29creative.com,Unknown,"Concrete is clearly central to the brand and the company still reads as a local operator.","Agency-routed email suggests the website/contact path may not be fully owned or optimized for fast homeowner follow-up.","Business name still feels local and credible.","Lead with homeowner estimate leakage and the need for a more direct, trust-building quote path.",7,7
Anthem Concrete Coatings,Kansas City,https://www.anthemconcretecoatings.com/,jshonamon@anthemconcretecoatings.com,Unknown,"Residential-adjacent concrete coatings fit the pilot only as an edge case tied to homeowner jobs.","Offer is niche, but gallery proof and trust sequencing likely need to do more of the selling.","Direct branded email and a clear specialty.","Treat as a borderline pilot fit focused on proof presentation and estimate conversion.",6,8
Sam The Concrete Man Kansas City KS,Kansas City,https://samtheconcreteman.com/kansas-city-ks/,operations@ignitevisibility.com,Unknown,"Residential flatwork offer is likely present, but the company appears more franchise/agency-managed than owner-led.","Estimate flow may still leak, but the business is likely too scaled and too polished for a 2-client pilot.","Concrete homeowner services are obvious from the brand.","Low-priority outreach only if the pilot needs a larger benchmark target.",5,9
"EPIC Concrete Construction, Inc.",Kansas City,http://www.epiccc.com/,Unknown,Unknown,"Concrete is core, but the company reads more commercial/ambiguous than clearly residential.","Residential estimate flow fit is unclear, and no direct email was captured.","Legitimate concrete company with a real site.","Only worth outreach if later review confirms a true residential service mix.",4,10
