company_name,city,website,email,phone,residential_fit_reason,main_estimate_leak,positive_note,outreach_angle,score,priority_rank
JZA Concrete LLC,Kansas City,https://jzaconcrete.com/,jzaconcrete@outlook.com,"(816) 256-1269","Core residential concrete and flatwork contractor with clear homeowner-oriented services and direct contact.","The service path is broad enough that homeowners can hesitate before reaching an estimate request, and proof could do more selling up front.","Direct site-listed email and phone with clear Kansas City flatwork positioning.","Lead with a teardown focused on tightening trust proof and making the estimate path clearer for driveway and patio jobs.",9,1
Superior Concrete KC,Kansas City,https://superiorconcretekc.com/,hello@superiorconcretekc.com,"(816) 307-1129","Clearly residential concrete company centered on driveways patios and stamped concrete in Kansas City.","The site reads as legitimate, but the trust flow and estimate path are still lighter than they should be for high-intent homeowners.","Direct branded email recovered from the live site and strong residential service mix.","Position the pilot around turning existing traffic into more estimate requests with stronger proof and cleaner response routing.",9,2
"Enriquez Concrete Construction, LLC",Kansas City,https://enriquezconcrete-construction.com/,ismaelenriquez433@gmail.com,"(816) 328-3244","Local concrete contractor with a residential-friendly service footprint and direct operator contact visible on the site.","The site feels credible but likely loses homeowners when gallery proof and estimate routing are not strong enough early.","Direct personal/operator email recovered from the live site plus a local phone number.","Approach with a teardown focused on trust proof gallery flow and reducing drop-off before estimate requests.",8,3
S&E Concrete Construction,Omaha,https://seconcreteomaha.com/,Oscar@SEConcreteOmaha.com,402-215-1851,"Strong Omaha residential fit built around driveways tear-out and replacement with direct owner-style contact.","The residential offer is clear, but the site likely still leaks estimate opportunities because proof sequencing and response routing are not especially strong.","Direct domain email and phone recovered from the live site with driveway-specialist positioning.","Lead with homeowner estimate leakage around driveways and replacement jobs and how to tighten the proof-to-estimate flow.",8,4
E&J Concrete,Wichita,https://eandjconcrete.com/,juan@eandjconcrete.com,316-207-7466,"Clear residential concrete fit in Wichita with patios sidewalks and similar homeowner jobs featured directly on the site.","The service mix is relevant, but the estimate path and trust presentation likely do not convert as well as they could.","Direct domain email and phone with obvious homeowner-facing concrete services.","Focus the outreach on cleaner estimate routing and stronger proof presentation for patios and residential flatwork.",8,5
B&K Concrete Services,St. Louis,https://www.bkconcreteservices.com/,bkconcretestl@gmail.com,"(636) 515-5216","St. Louis concrete contractor with a residential-friendly service presentation and direct local contact.","The offer is credible, but proof flow and first-step estimate clarity likely leave some homeowners undecided.","Direct local Gmail contact and live phone recovered from the site.","Use a teardown angle centered on making trust and estimate requests easier for residential concrete buyers.",7,6
Holliday Concrete,Kansas City,https://www.hollidayconcrete.com/,driveways@hollidayconcrete.com,816-427-5747,"Kansas City concrete contractor with a clear driveway-oriented residential angle and a branded service email.","The site appears lead-focused and may lose homeowner trust because the contact and proof structure feel less polished than the stronger candidates.","Branded service-specific email and multiple live phone numbers on site.","Position BuckSites around turning driveway-interest traffic into cleaner estimate requests without changing the core offer.",7,7
Omaha Concrete Designs,Omaha,https://www.omahaconcretedesigns.com/,Unknown,402-319-2100,"Strong residential concrete fit by name and on-site positioning, especially for decorative and homeowner-facing work.","The residential offer is clear, but no direct email was recovered, which weakens response reliability and send readiness.","Clear Omaha residential concrete positioning with a live local phone number.","Good candidate for later manual outreach if a direct contact email is found.",6,8
O&A Concrete LLC,Wichita,https://www.oandaconcrete.com/,oaconcretellc6@gmail.com,620-770-1085,"Likely residential concrete fit with direct Gmail contact and local phone, but the site quality and platform footprint lower confidence slightly.","The estimate path likely leaks because trust proof and site credibility are not as strong as the best pilot fits.","Direct email and phone are available from the live site.","Treat as a backup Wichita lead if you want another smaller operator with direct contact.",6,9
JW Contractors LLC,Omaha,https://jwcontractorsllc.com/,JWCONTRACROSLLC402@GMAIL.COM,402-819-7804,"Concrete work is present and homeowner-facing, but the business is broader than ideal because fencing and landscaping are also core offers.","Mixed-service positioning makes the concrete estimate path less focused for homeowners.","Direct contact info is available and the concrete service line is visible on site.","Only worth outreach if you want a broader home-service operator where concrete is still meaningful.",5,10
